Lysipatha is a genus of moth in the family Gelechiidae . || SUBJECT: Lysipatha || PREDICATE: parent taxon || OBJECT: Gelechiidae 
Luzy-sur-Marne is a commune in the Haute-Marne department in north-eastern France . || SUBJECT: Luzy-sur-Marne || PREDICATE: located in the administrative territorial entity || OBJECT: Haute-Marne 
Luzy-sur-Marne is a commune in the Haute-Marne department in north-eastern France . || SUBJECT: Haute-Marne || PREDICATE: contains administrative territorial entity || OBJECT: Luzy-sur-Marne 
Luzy-sur-Marne is a commune in the Haute-Marne department in north-eastern France . || SUBJECT: Haute-Marne || PREDICATE: instance of || OBJECT: department 
Luzy-sur-Marne is a commune in the Haute-Marne department in north-eastern France . || SUBJECT: Haute-Marne || PREDICATE: country || OBJECT: France 
Luzy-sur-Marne is a commune in the Haute-Marne department in north-eastern France . || SUBJECT: department || PREDICATE: country || OBJECT: France 
MV Captain Kurbatskiy was a Russian SA-15 class cargo ship originally known as Nizhneyansk after a port of the same name . The ship was delivered from Valmet Vuosaari shipyard in 1983 as the second ship of a series of 19 icebreaking multipurpose arctic freighters built by Valmet and Wärtsilä , another Finnish shipbuilder , for the Soviet Union for year-round service in the Northern Sea Route . These ships , designed to be capable of independent operation in arctic ice conditions , were of extremely robust design and had strengthened hulls resembling those of polar icebreakers .   In 1996 , after 13 years of service under Soviet and later Russian Far East Shipping Company ( FESCO ) , the ship was sold to Bandwidth Shipping Corporation , who renamed it Magdalena Oldendorff and later chartered it as a support ship for the 20th Indian Antarctic Expedition . In 2003 the ship changed hands again and the new owner , Crystal Waters Shipping , renamed it Ocean Luck . Since 2010 the ship sailed as Captain Kurbatskiy under the ownership of Fern Shipping . Decommissioned and sold for scrapping in Alang , India , in 2011 , Captain Kurbatskiy arrived at the breakers on 12 November 2011 . || SUBJECT: MV Captain Kurbatskiy || PREDICATE: manufacturer || OBJECT: Valmet Vuosaari shipyard 
MV Captain Kurbatskiy was a Russian SA-15 class cargo ship originally known as Nizhneyansk after a port of the same name . The ship was delivered from Valmet Vuosaari shipyard in 1983 as the second ship of a series of 19 icebreaking multipurpose arctic freighters built by Valmet and Wärtsilä , another Finnish shipbuilder , for the Soviet Union for year-round service in the Northern Sea Route . These ships , designed to be capable of independent operation in arctic ice conditions , were of extremely robust design and had strengthened hulls resembling those of polar icebreakers .   In 1996 , after 13 years of service under Soviet and later Russian Far East Shipping Company ( FESCO ) , the ship was sold to Bandwidth Shipping Corporation , who renamed it Magdalena Oldendorff and later chartered it as a support ship for the 20th Indian Antarctic Expedition . In 2003 the ship changed hands again and the new owner , Crystal Waters Shipping , renamed it Ocean Luck . Since 2010 the ship sailed as Captain Kurbatskiy under the ownership of Fern Shipping . Decommissioned and sold for scrapping in Alang , India , in 2011 , Captain Kurbatskiy arrived at the breakers on 12 November 2011 . || SUBJECT: MV Captain Kurbatskiy || PREDICATE: service entry || OBJECT: 1983 
MV Captain Kurbatskiy was a Russian SA-15 class cargo ship originally known as Nizhneyansk after a port of the same name . The ship was delivered from Valmet Vuosaari shipyard in 1983 as the second ship of a series of 19 icebreaking multipurpose arctic freighters built by Valmet and Wärtsilä , another Finnish shipbuilder , for the Soviet Union for year-round service in the Northern Sea Route . These ships , designed to be capable of independent operation in arctic ice conditions , were of extremely robust design and had strengthened hulls resembling those of polar icebreakers .   In 1996 , after 13 years of service under Soviet and later Russian Far East Shipping Company ( FESCO ) , the ship was sold to Bandwidth Shipping Corporation , who renamed it Magdalena Oldendorff and later chartered it as a support ship for the 20th Indian Antarctic Expedition . In 2003 the ship changed hands again and the new owner , Crystal Waters Shipping , renamed it Ocean Luck . Since 2010 the ship sailed as Captain Kurbatskiy under the ownership of Fern Shipping . Decommissioned and sold for scrapping in Alang , India , in 2011 , Captain Kurbatskiy arrived at the breakers on 12 November 2011 . || SUBJECT: MV Captain Kurbatskiy || PREDICATE: manufacturer || OBJECT: Valmet 
MV Captain Kurbatskiy was a Russian SA-15 class cargo ship originally known as Nizhneyansk after a port of the same name . The ship was delivered from Valmet Vuosaari shipyard in 1983 as the second ship of a series of 19 icebreaking multipurpose arctic freighters built by Valmet and Wärtsilä , another Finnish shipbuilder , for the Soviet Union for year-round service in the Northern Sea Route . These ships , designed to be capable of independent operation in arctic ice conditions , were of extremely robust design and had strengthened hulls resembling those of polar icebreakers .   In 1996 , after 13 years of service under Soviet and later Russian Far East Shipping Company ( FESCO ) , the ship was sold to Bandwidth Shipping Corporation , who renamed it Magdalena Oldendorff and later chartered it as a support ship for the 20th Indian Antarctic Expedition . In 2003 the ship changed hands again and the new owner , Crystal Waters Shipping , renamed it Ocean Luck . Since 2010 the ship sailed as Captain Kurbatskiy under the ownership of Fern Shipping . Decommissioned and sold for scrapping in Alang , India , in 2011 , Captain Kurbatskiy arrived at the breakers on 12 November 2011 . || SUBJECT: Valmet Vuosaari shipyard || PREDICATE: country || OBJECT: Finnish 
MV Captain Kurbatskiy was a Russian SA-15 class cargo ship originally known as Nizhneyansk after a port of the same name . The ship was delivered from Valmet Vuosaari shipyard in 1983 as the second ship of a series of 19 icebreaking multipurpose arctic freighters built by Valmet and Wärtsilä , another Finnish shipbuilder , for the Soviet Union for year-round service in the Northern Sea Route . These ships , designed to be capable of independent operation in arctic ice conditions , were of extremely robust design and had strengthened hulls resembling those of polar icebreakers .   In 1996 , after 13 years of service under Soviet and later Russian Far East Shipping Company ( FESCO ) , the ship was sold to Bandwidth Shipping Corporation , who renamed it Magdalena Oldendorff and later chartered it as a support ship for the 20th Indian Antarctic Expedition . In 2003 the ship changed hands again and the new owner , Crystal Waters Shipping , renamed it Ocean Luck . Since 2010 the ship sailed as Captain Kurbatskiy under the ownership of Fern Shipping . Decommissioned and sold for scrapping in Alang , India , in 2011 , Captain Kurbatskiy arrived at the breakers on 12 November 2011 . || SUBJECT: Alang || PREDICATE: country || OBJECT: India 
M. Thennavan is an Indian politician and former Member of the Legislative Assembly of Tamil Nadu . He was elected to the Tamil Nadu legislative assembly as an Anna Dravida Munnetra Kazhagam candidate from Ramanathapuram constituency in 1991 election . || SUBJECT: Member of the Legislative Assembly || PREDICATE: applies to jurisdiction || OBJECT: Tamil Nadu 
M. Thennavan is an Indian politician and former Member of the Legislative Assembly of Tamil Nadu . He was elected to the Tamil Nadu legislative assembly as an Anna Dravida Munnetra Kazhagam candidate from Ramanathapuram constituency in 1991 election . || SUBJECT: Tamil Nadu || PREDICATE: legislative body || OBJECT: Member of the Legislative Assembly 
M. Thennavan is an Indian politician and former Member of the Legislative Assembly of Tamil Nadu . He was elected to the Tamil Nadu legislative assembly as an Anna Dravida Munnetra Kazhagam candidate from Ramanathapuram constituency in 1991 election . || SUBJECT: Ramanathapuram constituency || PREDICATE: located in the administrative territorial entity || OBJECT: Tamil Nadu 
M. Thennavan is an Indian politician and former Member of the Legislative Assembly of Tamil Nadu . He was elected to the Tamil Nadu legislative assembly as an Anna Dravida Munnetra Kazhagam candidate from Ramanathapuram constituency in 1991 election . || SUBJECT: 1991 election || PREDICATE: point in time || OBJECT: 1991 
MTV Türkiye is the Turkish subsidiary of MTV . It was on air between October 23 , 2006 and August 31 , 2011 . || SUBJECT: MTV Türkiye || PREDICATE: parent organization || OBJECT: MTV 
MTV Türkiye is the Turkish subsidiary of MTV . It was on air between October 23 , 2006 and August 31 , 2011 . || SUBJECT: MTV || PREDICATE: subsidiary || OBJECT: MTV Türkiye 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: Maksim Vladimirovich Yermakov || PREDICATE: date of birth || OBJECT: 21 April 1995 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: Maksim Vladimirovich Yermakov || PREDICATE: place of birth || OBJECT: Kamensk-Uralsky 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: Maksim Vladimirovich Yermakov || PREDICATE: sport || OBJECT: football 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: Maksim Vladimirovich Yermakov || PREDICATE: member of sports team || OBJECT: FC Spartak-2 Moscow 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: Russian Professional Football League || PREDICATE: sport || OBJECT: football 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: FC Spartak-2 Moscow || PREDICATE: sport || OBJECT: football 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: FC Spartak-2 Moscow || PREDICATE: league || OBJECT: Russian Professional Football League 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: A Lyga || PREDICATE: sport || OBJECT: football 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: FC Stumbras || PREDICATE: sport || OBJECT: football 
Maksim Vladimirovich Yermakov ( Максим Владимирович Ермаков born 21 April 1995 in Kamensk-Uralsky ) is a Russian football player , who lastly played for A Lyga club FC Stumbras .   He made his debut in the Russian Professional Football League for FC Spartak-2 Moscow on 30 July 2013 in a game against FC Vityaz Podolsk . || SUBJECT: FC Stumbras || PREDICATE: league || OBJECT: A Lyga 
Manuel Muñiz Rodriguez ( born December 31 , 1947 ) is a former professional baseball pitcher . He played part of one season in Major League Baseball in 1971 with the Philadelphia Phillies . || SUBJECT: Manuel Muñiz || PREDICATE: date of birth || OBJECT: December 31, 1947 
Manuel Muñiz Rodriguez ( born December 31 , 1947 ) is a former professional baseball pitcher . He played part of one season in Major League Baseball in 1971 with the Philadelphia Phillies . || SUBJECT: Manuel Muñiz || PREDICATE: member of sports team || OBJECT: Philadelphia Phillies 
Manuel Muñiz Rodriguez ( born December 31 , 1947 ) is a former professional baseball pitcher . He played part of one season in Major League Baseball in 1971 with the Philadelphia Phillies . || SUBJECT: Philadelphia Phillies || PREDICATE: league || OBJECT: Major League Baseball 
MT103 is a SWIFT payment message type/format used for cash transfer specifically for cross border/international wire transfer . || SUBJECT: SWIFT || PREDICATE: use || OBJECT: cross border/international wire transfer 
M. Gary Neuman is a rabbi , licensed family counselor , Florida Supreme Court-certified family mediator , and founder of the Sandcastles Program Inc. , a nationwide divorce therapy program for children . He is also author of The Truth about Cheating : Why Men Stray and What You Can Do to Prevent It ( Wiley ) , Emotional Infidelity : How to Affair-Proof Your Marriage ( Crown ) , and Helping Your Kids Cope with Divorce the Sandcastles Way ( Random House ) .   In conjunction with the publication The Truth About Cheating , published by John Wiley & Sons in August 2008 , Neuman will appear on The Oprah Winfrey Show September 11 , 2008 and September 18 , 2008 .   Neuman holds a Master of Science in Mental Health Counseling from Barry University ( 1987 ) and a rabbinical ordination from Talmudic University ( 1988 ) .   He resides in Miami Beach , Florida . || SUBJECT: The Truth About Cheating || PREDICATE: publisher || OBJECT: John Wiley & Sons 
Mahindra Racing is the first Indian team to participate in the FIM MotoGP World Motorcycle Racing Championship and the FIA Formula E Championship . The factory team entered into the championship in 2011 , in the 125cc class , and raced in the newly formed Moto3 championship in 2012 . Mahindra Racing entered the Italian National Motorcycle Racing Championship ( CIV ) in 2012 . The team 's historic 2012 victory in the CIV Constructors ' Cup made Mahindra the first Indian team to win an international motorsport championship . In 2013 , the team competed in the 2013 FIM Moto3 Championship as well as in the Moto3 ( 250cc -- 4 stroke ) class of the CIV . The team is owned by Indian conglomerate Mahindra & Mahindra which has a significant presence in automotive manufacturing . || SUBJECT: Mahindra Racing || PREDICATE: owned by || OBJECT: Mahindra & Mahindra 
Mahindra Racing is the first Indian team to participate in the FIM MotoGP World Motorcycle Racing Championship and the FIA Formula E Championship . The factory team entered into the championship in 2011 , in the 125cc class , and raced in the newly formed Moto3 championship in 2012 . Mahindra Racing entered the Italian National Motorcycle Racing Championship ( CIV ) in 2012 . The team 's historic 2012 victory in the CIV Constructors ' Cup made Mahindra the first Indian team to win an international motorsport championship . In 2013 , the team competed in the 2013 FIM Moto3 Championship as well as in the Moto3 ( 250cc -- 4 stroke ) class of the CIV . The team is owned by Indian conglomerate Mahindra & Mahindra which has a significant presence in automotive manufacturing . || SUBJECT: MotoGP World Motorcycle Racing Championship || PREDICATE: organizer || OBJECT: FIM 
Mahindra Racing is the first Indian team to participate in the FIM MotoGP World Motorcycle Racing Championship and the FIA Formula E Championship . The factory team entered into the championship in 2011 , in the 125cc class , and raced in the newly formed Moto3 championship in 2012 . Mahindra Racing entered the Italian National Motorcycle Racing Championship ( CIV ) in 2012 . The team 's historic 2012 victory in the CIV Constructors ' Cup made Mahindra the first Indian team to win an international motorsport championship . In 2013 , the team competed in the 2013 FIM Moto3 Championship as well as in the Moto3 ( 250cc -- 4 stroke ) class of the CIV . The team is owned by Indian conglomerate Mahindra & Mahindra which has a significant presence in automotive manufacturing . || SUBJECT: Moto3 championship || PREDICATE: organizer || OBJECT: FIM 
Mahindra Racing is the first Indian team to participate in the FIM MotoGP World Motorcycle Racing Championship and the FIA Formula E Championship . The factory team entered into the championship in 2011 , in the 125cc class , and raced in the newly formed Moto3 championship in 2012 . Mahindra Racing entered the Italian National Motorcycle Racing Championship ( CIV ) in 2012 . The team 's historic 2012 victory in the CIV Constructors ' Cup made Mahindra the first Indian team to win an international motorsport championship . In 2013 , the team competed in the 2013 FIM Moto3 Championship as well as in the Moto3 ( 250cc -- 4 stroke ) class of the CIV . The team is owned by Indian conglomerate Mahindra & Mahindra which has a significant presence in automotive manufacturing . || SUBJECT: Mahindra Racing || PREDICATE: owned by || OBJECT: Mahindra & Mahindra 
Mahindra Racing is the first Indian team to participate in the FIM MotoGP World Motorcycle Racing Championship and the FIA Formula E Championship . The factory team entered into the championship in 2011 , in the 125cc class , and raced in the newly formed Moto3 championship in 2012 . Mahindra Racing entered the Italian National Motorcycle Racing Championship ( CIV ) in 2012 . The team 's historic 2012 victory in the CIV Constructors ' Cup made Mahindra the first Indian team to win an international motorsport championship . In 2013 , the team competed in the 2013 FIM Moto3 Championship as well as in the Moto3 ( 250cc -- 4 stroke ) class of the CIV . The team is owned by Indian conglomerate Mahindra & Mahindra which has a significant presence in automotive manufacturing . || SUBJECT: 2013 FIM Moto3 Championship || PREDICATE: point in time || OBJECT: 2013 
Mahindra Racing is the first Indian team to participate in the FIM MotoGP World Motorcycle Racing Championship and the FIA Formula E Championship . The factory team entered into the championship in 2011 , in the 125cc class , and raced in the newly formed Moto3 championship in 2012 . Mahindra Racing entered the Italian National Motorcycle Racing Championship ( CIV ) in 2012 . The team 's historic 2012 victory in the CIV Constructors ' Cup made Mahindra the first Indian team to win an international motorsport championship . In 2013 , the team competed in the 2013 FIM Moto3 Championship as well as in the Moto3 ( 250cc -- 4 stroke ) class of the CIV . The team is owned by Indian conglomerate Mahindra & Mahindra which has a significant presence in automotive manufacturing . || SUBJECT: 2013 FIM Moto3 Championship || PREDICATE: point in time || OBJECT: 2013 
Mahindra Racing is the first Indian team to participate in the FIM MotoGP World Motorcycle Racing Championship and the FIA Formula E Championship . The factory team entered into the championship in 2011 , in the 125cc class , and raced in the newly formed Moto3 championship in 2012 . Mahindra Racing entered the Italian National Motorcycle Racing Championship ( CIV ) in 2012 . The team 's historic 2012 victory in the CIV Constructors ' Cup made Mahindra the first Indian team to win an international motorsport championship . In 2013 , the team competed in the 2013 FIM Moto3 Championship as well as in the Moto3 ( 250cc -- 4 stroke ) class of the CIV . The team is owned by Indian conglomerate Mahindra & Mahindra which has a significant presence in automotive manufacturing . || SUBJECT: Mahindra & Mahindra || PREDICATE: owner of || OBJECT: Mahindra Racing 
Manapany ( also known as Manapany-les-Bains ) is a village on the island of Réunion . Located on the southern coast , between the communes of Petite-Île and Saint-Joseph , it is a quiet holiday spot with a natural swimming pool made from basaltic rock .   Category : Populated places in Réunion || SUBJECT: Manapany || PREDICATE: located in the administrative territorial entity || OBJECT: Réunion 
Manapany ( also known as Manapany-les-Bains ) is a village on the island of Réunion . Located on the southern coast , between the communes of Petite-Île and Saint-Joseph , it is a quiet holiday spot with a natural swimming pool made from basaltic rock .   Category : Populated places in Réunion || SUBJECT: Manapany || PREDICATE: located in the administrative territorial entity || OBJECT: Réunion 
Manapany ( also known as Manapany-les-Bains ) is a village on the island of Réunion . Located on the southern coast , between the communes of Petite-Île and Saint-Joseph , it is a quiet holiday spot with a natural swimming pool made from basaltic rock .   Category : Populated places in Réunion || SUBJECT: Petite-Île || PREDICATE: located in the administrative territorial entity || OBJECT: Réunion 
Manapany ( also known as Manapany-les-Bains ) is a village on the island of Réunion . Located on the southern coast , between the communes of Petite-Île and Saint-Joseph , it is a quiet holiday spot with a natural swimming pool made from basaltic rock .   Category : Populated places in Réunion || SUBJECT: Saint-Joseph || PREDICATE: located in the administrative territorial entity || OBJECT: Réunion 
MTV Hits is a 24-hour non-stop pop music video channel from Viacom International Media Networks Europe launched on 1 May 2001 . The channel is widely available in the United Kingdom , Belgium , the Netherlands , Turkey , Republic of Ireland , France , Sweden , Denmark , Norway , Finland , Romania , Israel , Austria , Germany , Switzerland , Poland , Iceland , Serbia , Bosnia and Herzegovina and Italy .   MTV Hits began broadcasting in widescreen on 28 March 2012 . || SUBJECT: MTV Hits || PREDICATE: owned by || OBJECT: Viacom International Media Networks Europe 
MTV Hits is a 24-hour non-stop pop music video channel from Viacom International Media Networks Europe launched on 1 May 2001 . The channel is widely available in the United Kingdom , Belgium , the Netherlands , Turkey , Republic of Ireland , France , Sweden , Denmark , Norway , Finland , Romania , Israel , Austria , Germany , Switzerland , Poland , Iceland , Serbia , Bosnia and Herzegovina and Italy .   MTV Hits began broadcasting in widescreen on 28 March 2012 . || SUBJECT: Viacom International Media Networks Europe || PREDICATE: owner of || OBJECT: MTV Hits 
MTV Hits is a 24-hour non-stop pop music video channel from Viacom International Media Networks Europe launched on 1 May 2001 . The channel is widely available in the United Kingdom , Belgium , the Netherlands , Turkey , Republic of Ireland , France , Sweden , Denmark , Norway , Finland , Romania , Israel , Austria , Germany , Switzerland , Poland , Iceland , Serbia , Bosnia and Herzegovina and Italy .   MTV Hits began broadcasting in widescreen on 28 March 2012 . || SUBJECT: Viacom International Media Networks Europe || PREDICATE: owner of || OBJECT: MTV Hits 
MTV Hits is a 24-hour non-stop pop music video channel from Viacom International Media Networks Europe launched on 1 May 2001 . The channel is widely available in the United Kingdom , Belgium , the Netherlands , Turkey , Republic of Ireland , France , Sweden , Denmark , Norway , Finland , Romania , Israel , Austria , Germany , Switzerland , Poland , Iceland , Serbia , Bosnia and Herzegovina and Italy .   MTV Hits began broadcasting in widescreen on 28 March 2012 . || SUBJECT: MTV Hits || PREDICATE: owned by || OBJECT: Viacom International Media Networks Europe 
Luis Pérez Figueroa ( 1833 - 1903 ) was a Mexican general who fought in the war of independence that followed the French intervention in Mexico . || SUBJECT: Luis Pérez Figueroa || PREDICATE: date of death || OBJECT: 1903 
Luis Miguel is a Mexican singer .   Luis Miguel may also refer to :  Luis Miguel ( album ) , a 2010 album by Luis Miguel || SUBJECT: Luis Miguel (album) || PREDICATE: publication date || OBJECT: 2010 
Luis Miguel is a Mexican singer .   Luis Miguel may also refer to :  Luis Miguel ( album ) , a 2010 album by Luis Miguel || SUBJECT: Luis Miguel (album) || PREDICATE: performer || OBJECT: Luis Miguel 
The election of Members of Parliament ( MPs ) to the 5th Parliament of the Fourth Republic was held on 7 December 2008 . The Speaker is not an elected member of parliament though he/she is qualified to be stand for election as such . There are a total of 230 constituencies in Ghana . || SUBJECT: election of Members of Parliament || PREDICATE: point in time || OBJECT: 7 December 2008 
Ma Marc is a Chinese actor . He appeared in many Chinese movies and TV dramas as supporting roles . He joined Universe International Holding Limited in March 2011 . || SUBJECT: Ma Marc || PREDICATE: occupation || OBJECT: Chinese actor 
Malcolm Millar Lucas ( April 19 , 1927 -- September 28 , 2016 ) was the 26th Chief Justice of California . He was appointed to the position after his predecessor , Rose Bird , was removed by the electorate in 1986 for reasons including her staunch opposition to capital punishment , which was reflected in her voting for reversal in all 61 death penalty appeals that came before the Court during her tenure . || SUBJECT: Malcolm Millar Lucas || PREDICATE: date of birth || OBJECT: April 19, 1927 
Malcolm Millar Lucas ( April 19 , 1927 -- September 28 , 2016 ) was the 26th Chief Justice of California . He was appointed to the position after his predecessor , Rose Bird , was removed by the electorate in 1986 for reasons including her staunch opposition to capital punishment , which was reflected in her voting for reversal in all 61 death penalty appeals that came before the Court during her tenure . || SUBJECT: Malcolm Millar Lucas || PREDICATE: date of death || OBJECT: September 28, 2016 
Malcolm Millar Lucas ( April 19 , 1927 -- September 28 , 2016 ) was the 26th Chief Justice of California . He was appointed to the position after his predecessor , Rose Bird , was removed by the electorate in 1986 for reasons including her staunch opposition to capital punishment , which was reflected in her voting for reversal in all 61 death penalty appeals that came before the Court during her tenure . || SUBJECT: Malcolm Millar Lucas || PREDICATE: position held || OBJECT: Chief Justice of California 
Mahur Sabz-e Neqareh Khaneh ( ماهورسبزنقاره خانه , also Romanized as Māhūr Sabz-e Neqāreh Khāneh ; also known as Māhūr Sabz and Mor Sabz ) is a village in Kabgian Rural District , Kabgian District , Dana County , Kohgiluyeh and Boyer-Ahmad Province , Iran . At the 2006 census , its population was 40 , in 9 families . || SUBJECT: Mahur Sabz-e Neqareh Khaneh || PREDICATE: located in the administrative territorial entity || OBJECT: Kabgian Rural District 
Mahur Sabz-e Neqareh Khaneh ( ماهورسبزنقاره خانه , also Romanized as Māhūr Sabz-e Neqāreh Khāneh ; also known as Māhūr Sabz and Mor Sabz ) is a village in Kabgian Rural District , Kabgian District , Dana County , Kohgiluyeh and Boyer-Ahmad Province , Iran . At the 2006 census , its population was 40 , in 9 families . || SUBJECT: Kabgian Rural District || PREDICATE: located in the administrative territorial entity || OBJECT: Kabgian District 
Mahur Sabz-e Neqareh Khaneh ( ماهورسبزنقاره خانه , also Romanized as Māhūr Sabz-e Neqāreh Khāneh ; also known as Māhūr Sabz and Mor Sabz ) is a village in Kabgian Rural District , Kabgian District , Dana County , Kohgiluyeh and Boyer-Ahmad Province , Iran . At the 2006 census , its population was 40 , in 9 families . || SUBJECT: Kabgian Rural District || PREDICATE: part of || OBJECT: Dana County 
Mahur Sabz-e Neqareh Khaneh ( ماهورسبزنقاره خانه , also Romanized as Māhūr Sabz-e Neqāreh Khāneh ; also known as Māhūr Sabz and Mor Sabz ) is a village in Kabgian Rural District , Kabgian District , Dana County , Kohgiluyeh and Boyer-Ahmad Province , Iran . At the 2006 census , its population was 40 , in 9 families . || SUBJECT: Kabgian Rural District || PREDICATE: country || OBJECT: Iran 
Mahur Sabz-e Neqareh Khaneh ( ماهورسبزنقاره خانه , also Romanized as Māhūr Sabz-e Neqāreh Khāneh ; also known as Māhūr Sabz and Mor Sabz ) is a village in Kabgian Rural District , Kabgian District , Dana County , Kohgiluyeh and Boyer-Ahmad Province , Iran . At the 2006 census , its population was 40 , in 9 families . || SUBJECT: Kabgian District || PREDICATE: located in the administrative territorial entity || OBJECT: Kohgiluyeh and Boyer-Ahmad Province 
Mahur Sabz-e Neqareh Khaneh ( ماهورسبزنقاره خانه , also Romanized as Māhūr Sabz-e Neqāreh Khāneh ; also known as Māhūr Sabz and Mor Sabz ) is a village in Kabgian Rural District , Kabgian District , Dana County , Kohgiluyeh and Boyer-Ahmad Province , Iran . At the 2006 census , its population was 40 , in 9 families . || SUBJECT: Kabgian District || PREDICATE: country || OBJECT: Iran 
Mahur Sabz-e Neqareh Khaneh ( ماهورسبزنقاره خانه , also Romanized as Māhūr Sabz-e Neqāreh Khāneh ; also known as Māhūr Sabz and Mor Sabz ) is a village in Kabgian Rural District , Kabgian District , Dana County , Kohgiluyeh and Boyer-Ahmad Province , Iran . At the 2006 census , its population was 40 , in 9 families . || SUBJECT: Dana County || PREDICATE: located in the administrative territorial entity || OBJECT: Kohgiluyeh and Boyer-Ahmad Province 
Mahur Sabz-e Neqareh Khaneh ( ماهورسبزنقاره خانه , also Romanized as Māhūr Sabz-e Neqāreh Khāneh ; also known as Māhūr Sabz and Mor Sabz ) is a village in Kabgian Rural District , Kabgian District , Dana County , Kohgiluyeh and Boyer-Ahmad Province , Iran . At the 2006 census , its population was 40 , in 9 families . || SUBJECT: Dana County || PREDICATE: country || OBJECT: Iran 
The Manx Trophy or Isle of Man International Road Race is a bicycle road race run annually on the Isle of Man . In the 1960s the race attracted the world 's top professional cyclists including Fausto Coppi , Jacques Anquetil and Eddy Merckx .   The race was a feature of the Isle of Man cycling festival , an annual event which ran from 1936 to 2003 and was started by journalist and cycling enthusiast Curwen Clague .  The first festival included a massed-start road race ( a rarity in mainland Britain at the time but allowed in the Isle of Man , a self-governing crown dependency ) which featured the top riders of the day . Despite closed roads the race saw many crashes and only a few riders finished . The first winner was Charles Holland of Birmingham , later one of the first two Englishmen to ride the Tour de France .   The first event involved riders racing a single lap of the famous TT circuit of 37.75 mi . The course runs from Douglas to Ramsey then climbs for 5 mi to a high point on the mountain of Snaefell at 1384 ft before descending to Douglas . The distance was later increased to two and then three laps ( 113 mi ) .   The Manx Trophy was reintroduced in April 2016 as a one-day race by Manx International Cycling Ltd , named the Manx International Cycling GP , forming part of the British Cycling Spring Cup over 3 laps of the TT Mountain Circuit , as the Island prepares a second bid to host the National Road Race Championships for 2018 . || SUBJECT: Isle of Man || PREDICATE: instance of || OBJECT: crown dependency 
